Giornata,SetGioc.,PUNTI_Tot,PUNTI_Vin,PUNTI_BP,BATTUTA_Tot,BATTUTA_Ace,BATTUTA_Err.,BATTUTA_AceperSet,BATTUTA_Effic.,RICEZIONE_Tot,RICEZIONE_Err.,RICEZIONE_Neg.,RICEZIONE_Prf.,RICEZIONE_Prf..,RICEZIONE_Effic.,ATTACCO_Tot,ATTACCO_Err.,ATTACCO_Murati,ATTACCO_Prf.,ATTACCO_Prf..,ATTACCO_Effic.,MURO_Prf.,MURO_PuntiperSet,team,risultato,vit,cum
Ritorno_13,3,58,32,26,73,6,11,2,-0.07,45,NA,29,5,11.1,0.11,68,2,4,44,64.7,0.62,8,2.67,Calzedonia Verona,3,1,16
Andata_1,3,41,26,15,69,4,14,1.33,-0.14,59,5,29,12,20.3,0.12,71,3,8,30,42.3,0.38,7,2.33,Tonno Callipo Calabria Vibo Valentia,0,0,0
Andata_2,3,45,35,10,62,2,14,0.67,-0.19,63,9,22,17,27,0.13,73,6,7,37,50.7,0.42,6,2,Tonno Callipo Calabria Vibo Valentia,0,0,0
Andata_3,4,65,40,25,95,4,14,1,-0.11,77,8,16,28,36.4,0.26,115,7,11,55,47.8,0.42,6,1.5,Tonno Callipo Calabria Vibo Valentia,1,0,0
Andata_4,5,82,48,34,107,10,13,2,-0.03,92,8,54,15,16.3,0.08,143,8,12,62,43.4,0.38,10,2,Tonno Callipo Calabria Vibo Valentia,3,1,1
Andata_5,5,64,44,20,93,3,13,0.6,-0.11,92,13,38,21,22.8,0.09,119,5,12,58,48.7,0.45,3,0.6,Tonno Callipo Calabria Vibo Valentia,2,0,1
Andata_6,3,38,24,14,63,5,9,1.67,-0.06,55,6,29,13,23.6,0.13,66,10,6,25,37.9,0.23,8,2.67,Tonno Callipo Calabria Vibo Valentia,0,0,1
Andata_7,3,38,27,11,60,3,13,1,-0.17,59,6,27,15,25.4,0.15,64,4,5,30,46.9,0.41,5,1.67,Tonno Callipo Calabria Vibo Valentia,0,0,1
Andata_8,4,67,35,32,98,10,14,2.5,-0.04,68,8,24,28,41.2,0.29,96,7,12,47,49,0.42,10,2.5,Tonno Callipo Calabria Vibo Valentia,3,1,2
Andata_9,4,72,47,25,97,5,16,1.25,-0.11,76,6,29,24,31.6,0.24,99,6,7,51,51.5,0.45,16,4,Tonno Callipo Calabria Vibo Valentia,3,1,3
Andata_10,5,76,49,27,107,6,17,1.2,-0.1,87,6,42,32,36.8,0.3,137,8,12,60,43.8,0.38,10,2,Tonno Callipo Calabria Vibo Valentia,3,1,4
Andata_11,5,73,53,20,105,3,13,0.6,-0.1,87,5,28,23,26.4,0.21,124,11,9,66,53.2,0.44,4,0.8,Tonno Callipo Calabria Vibo Valentia,2,0,4
Andata_12,4,64,41,23,100,6,20,1.5,-0.14,79,8,33,16,20.3,0.1,112,7,18,47,42,0.36,11,2.75,Tonno Callipo Calabria Vibo Valentia,3,1,5
Andata_13,5,77,57,20,109,3,14,0.6,-0.1,96,8,38,28,29.2,0.21,130,8,10,65,50,0.44,9,1.8,Tonno Callipo Calabria Vibo Valentia,2,0,5
Ritorno_1,5,72,42,30,104,6,12,1.2,-0.06,82,8,34,22,26.8,0.17,117,9,10,55,47,0.39,11,2.2,Tonno Callipo Calabria Vibo Valentia,3,1,6
Ritorno_2,4,59,42,17,75,6,15,1.5,-0.12,79,10,36,20,25.3,0.13,103,8,9,49,47.6,0.4,4,1,Tonno Callipo Calabria Vibo Valentia,1,0,6
Ritorno_3,3,58,31,27,77,10,7,3.33,0.04,64,6,33,19,29.7,0.2,86,6,10,38,44.2,0.37,10,3.33,Tonno Callipo Calabria Vibo Valentia,3,1,7
